Round,Date,home_team,away_team,Home,Away,HGFT,AGFT,Finished,Group,Year
Group stage,2026-06-11,México,Sudáfrica,México,Sudáfrica,2,0,1,,2026
Group stage,2026-06-12,Corea del Sur,República Checa,Corea del Sur,República Checa,2,1,1,,2026
Group stage,2026-06-12,Canadá,Bosnia-Herzegovina,Canadá,Bosnia-Herzegovina,1,1,1,,2026
Group stage,2026-06-13,Estados Unidos,Paraguay,Estados Unidos,Paraguay,4,1,1,,2026
Group stage,2026-06-13,Catar,Suiza,Catar,Suiza,1,1,1,,2026
Group stage,2026-06-13,Brasil,Marruecos,Brasil,Marruecos,1,1,1,,2026
Group stage,2026-06-14,Haití,Escocia,Haití,Escocia,0,1,1,,2026
Group stage,2026-06-14,Australia,Turquía,Australia,Turquía,2,0,1,,2026
Group stage,2026-06-14,Alemania,Curazao,Alemania,Curazao,7,1,1,,2026
Group stage,2026-06-14,Países Bajos,Japón,Países Bajos,Japón,2,2,1,,2026
Group stage,2026-06-14,Costa de Marfil,Ecuador,Costa de Marfil,Ecuador,1,0,1,,2026
Group stage,2026-06-15,Suecia,Túnez,Suecia,Túnez,5,1,1,,2026
Group stage,2026-06-15,España,Cabo Verde,España,Cabo Verde,0,0,1,,2026
Group stage,2026-06-15,Bélgica,Egipto,Bélgica,Egipto,1,1,1,,2026
Group stage,2026-06-15,Arabia Saudita,Uruguay,Arabia Saudita,Uruguay,1,1,1,,2026
Group stage,2026-06-16,Irán,Nueva Zelanda,Irán,Nueva Zelanda,2,2,1,,2026
Group stage,2026-06-16,Francia,Senegal,Francia,Senegal,3,1,1,,2026
Group stage,2026-06-16,Irak,Noruega,Irak,Noruega,1,4,1,,2026
Group stage,2026-06-17,Argentina,Argelia,Argentina,Argelia,3,0,1,,2026
Group stage,2026-06-17,Austria,Jordania,Austria,Jordania,3,1,1,,2026
Group stage,2026-06-17,Portugal,RD Congo,Portugal,RD Congo,1,1,1,,2026
Group stage,2026-06-17,Inglaterra,Croacia,Inglaterra,Croacia,4,2,1,,2026
Group stage,2026-06-17,Ghana,Panamá,Ghana,Panamá,1,0,1,,2026
Group stage,2026-06-18,Uzbekistán,Colombia,Uzbekistán,Colombia,1,3,1,,2026
Group stage,2026-06-18,República Checa,Sudáfrica,República Checa,Sudáfrica,1,1,1,,2026
Group stage,2026-06-18,Suiza,Bosnia-Herzegovina,Suiza,Bosnia-Herzegovina,4,1,1,,2026
Group stage,2026-06-18,Canadá,Catar,Canadá,Catar,6,0,1,,2026
Group stage,2026-06-19,México,Corea del Sur,México,Corea del Sur,1,0,1,,2026
Group stage,2026-06-19,Estados Unidos,Australia,Estados Unidos,Australia,2,0,1,,2026
Group stage,2026-06-19,Escocia,Marruecos,Escocia,Marruecos,0,1,1,,2026
Group stage,2026-06-20,Brasil,Haití,Brasil,Haití,3,0,1,,2026
Group stage,2026-06-20,Turquía,Paraguay,Turquía,Paraguay,0,1,1,,2026
Group stage,2026-06-20,Países Bajos,Suecia,Países Bajos,Suecia,5,1,1,,2026
Group stage,2026-06-20,Alemania,Costa de Marfil,Alemania,Costa de Marfil,2,1,1,,2026
Group stage,2026-06-21,Ecuador,Curazao,Ecuador,Curazao,0,0,1,,2026
Group stage,2026-06-21,Túnez,Japón,Túnez,Japón,0,4,1,,2026
Group stage,2026-06-21,España,Arabia Saudita,España,Arabia Saudita,4,0,1,,2026
Group stage,2026-06-21,Bélgica,Irán,Bélgica,Irán,0,0,1,,2026
Group stage,2026-06-21,Uruguay,Cabo Verde,Uruguay,Cabo Verde,2,2,1,,2026
Group stage,2026-06-22,Nueva Zelanda,Egipto,Nueva Zelanda,Egipto,1,3,1,,2026
Group stage,2026-06-22,Argentina,Austria,Argentina,Austria,2,0,1,,2026
Group stage,2026-06-22,Francia,Irak,Francia,Irak,3,0,1,,2026
Group stage,2026-06-23,Noruega,Senegal,Noruega,Senegal,3,2,1,,2026
Group stage,2026-06-23,Jordania,Argelia,Jordania,Argelia,1,2,1,,2026
Group stage,2026-06-23,Portugal,Uzbekistán,Portugal,Uzbekistán,5,0,1,,2026
Group stage,2026-06-23,Inglaterra,Ghana,Inglaterra,Ghana,0,0,1,,2026
Group stage,2026-06-23,Panamá,Croacia,Panamá,Croacia,0,1,1,,2026
Group stage,2026-06-24,Colombia,RD Congo,Colombia,RD Congo,1,0,1,,2026
Group stage,2026-06-24,Bosnia-Herzegovina,Catar,Bosnia-Herzegovina,Catar,3,1,1,,2026
Group stage,2026-06-24,Suiza,Canadá,Suiza,Canadá,2,1,1,,2026
Group stage,2026-06-24,Marruecos,Haití,Marruecos,Haití,4,2,1,,2026
Group stage,2026-06-24,Escocia,Brasil,Escocia,Brasil,0,3,1,,2026
Group stage,2026-06-25,República Checa,México,República Checa,México,0,3,1,,2026
Group stage,2026-06-25,Sudáfrica,Corea del Sur,Sudáfrica,Corea del Sur,1,0,1,,2026
Group stage,2026-06-25,Curazao,Costa de Marfil,Curazao,Costa de Marfil,0,2,1,,2026
Group stage,2026-06-25,Ecuador,Alemania,Ecuador,Alemania,2,1,1,,2026
Group stage,2026-06-25,Japón,Suecia,Japón,Suecia,1,1,1,,2026
Group stage,2026-06-25,Túnez,Países Bajos,Túnez,Países Bajos,1,3,1,,2026
Group stage,2026-06-26,Paraguay,Australia,Paraguay,Australia,0,0,1,,2026
Group stage,2026-06-26,Turquía,Estados Unidos,Turquía,Estados Unidos,3,2,1,,2026
Group stage,2026-06-26,Noruega,Francia,Noruega,Francia,1,4,1,,2026
Group stage,2026-06-26,Senegal,Irak,Senegal,Irak,5,0,1,,2026
Group stage,2026-06-27,Cabo Verde,Arabia Saudita,Cabo Verde,Arabia Saudita,0,0,1,,2026
Group stage,2026-06-27,Uruguay,España,Uruguay,España,0,1,1,,2026
Group stage,2026-06-27,Egipto,Irán,Egipto,Irán,1,1,1,,2026
Group stage,2026-06-27,Nueva Zelanda,Bélgica,Nueva Zelanda,Bélgica,1,5,1,,2026
Group stage,27/06/2026,Croacia,Ghana,Croacia,Ghana,2,1,1,,2026
Group stage,27/06/2026,Inglaterra,Panamá,Inglaterra,Panamá,2,1,1,,2026
Group stage,27/06/2026,Portugal,Colombia,Portugal,Colombia,2,1,1,,2026
Group stage,27/06/2026,RD Congo,Uzbekistán,RD Congo,Uzbekistán,2,1,1,,2026
Group stage,27/06/2026,Austria,Argelia,Austria,Argelia,2,1,1,,2026
Group stage,27/06/2026,Argentina,Jordania,Argentina,Jordania,2,1,1,,2026
